"call_num","cluster"
"5716137",1
"5816334",2
"14417538",1
"17819331",2
"18815431",1
"38815433",2
"58815337",2
"64016832",2
"65816236",2
"75118133",2
"75816332",2
"78716457",2
"105818337",2
"138815337",2
"185611838",2
"519815436",2
"566411538",2
"589815432",2
"665818336",2
"715716138",2
"755818333",2
"779410558",2
"779815336",1
"818815438",2
"899815335",2
"899815437",2
"1029310538",1
"1169815330",2
"1176310538",2
"1239815337",2
"1320316558",2
"1490815351",1
"1585411538",2
"1638310538",2
"1658815331",1
"1675818334",2
"1729815331",1
"1760816552",2
"1769815336",2
"1809815432",1
"1888815431",2
"1899815337",2
"2029815350",1
"2058815435",2
"2177310538",2
"2339815355",2
"2446419538",2
"2450410558",2
"2469815333",2
"2527819334",2
"2748716456",1
"3030815359",2
"3138815334",2
"3155311538",2
"3345816236",2
"3869815350",1
"3944210632",2
"4079410538",2
"4280716651",2
"4678016650",2
"4679815338",2
"4780116456",2
"4899815333",1
"4918815350",2
"4938815437",2
"5119815332",2
"5150815359",2
"5399815439",2
"5409815332",2
"5435816330",2
"5508716456",1
"5729815337",1
"5819815432",2
"6088815333",2
"6099815332",2
"6165818332",2
"6178410538",2
"6195816235",1
"6399815438",1
"6899310538",2
"6920116459",2
"7088410538",2
"7198815330",2
"7338815330",1
"7388815356",2
"7478815439",1
"7564316538",2
"7589815336",2
"7589815339",2
"7589815439",2
"7718815332",2
"7788815439",2
"8208815332",1
"8220815356",2
"8249815339",2
"8325816237",2
"8495816332",2
"8548815331",1
"8567119230",1
"8767819332",2
"8784315538",2
"9097819332",2
"9215716135",1
"9416418538",2
"9685818338",2
"9766412538",2
"9800116456",1
"9905818337",2
"9907119231",1
"10000815450",1
"10009016651",1
"10024315538",2
"10078815332",2
"10216310538",2
"10309815330",1
"10550812051",1
"10559815333",1
"10655818332",2
"10708016651",2
"10924815531",2
"11116310538",2
"11119815351",2
"11134016836",2
"11147119232",2
"11176317538",2
"11185816331",1
"11187119231",1
"11226412538",2
"11237119232",2
"11320816951",2
"11375716136",2
"11666412538",2
"11725310538",2
"11805818334",1
"11838815336",2
"11875310538",1
"11877310538",2
"11900812054",2
"11915311538",2
"11978815331",1
"12049815336",2
"12117819332",2
"12125816236",2
"12354016832",1
"12376410538",1
"12379016652",2
"12655716138",2
"13058016652",2
"13168815432",2
"13308815337",2
"13359815331",2
"13378815331",2
"13488815438",2
"13489815351",2
"13655816330",2
"13690815359",2
"13775818339",2
"13788815339",2
"14448410538",2
"14549815336",1
"14968815433",2
"15138815435",1
"15159815332",1
"15239815335",1
"15848815432",1
"15959815332",2
"15985716135",1
"16019815439",2
"16168310538",2
"16168815335",2
"16227819332",2
"16285818335",2
"16388815332",2
"16505818332",2
"16635411538",2
"16689815433",2
"16789815335",2
"16816310538",2
"17038815437",2
"17118815456",1
"17205816332",2
"17384315538",2
"17419814950",1
"17440816554",2
"17589310538",1
"17898410538",1
"17989815433",1
"18004316538",2
"18267310538",2
"18308410538",2
"18498410558",1
"18559815430",1
"18975816231",2
"19089815332",2
"19100316558",1
"19148815339",2
"19199815339",1
"19518016652",2
"19545816234",2
"19954815531",2
"20118815330",2
"20140815450",1
