"call_num","cluster"
"8815435",1
"15816230",1
"54715533",2
"55818338",2
"65816234",1
"75816230",1
"78815435",1
"96316538",2
"105816230",2
"105818338",1
"136319538",2
"138815336",1
"139815338",1
"160815359",2
"234210632",1
"259815335",2
"259815337",2
"284316538",2
"318815336",2
"334016835",1
"418016652",2
"444310538",1
"490812052",1
"495816231",1
"519719854",1
"555118139",2
"558815357",1
"566410538",1
"567410538",1
"620816550",2
"699815351",1
"745411538",1
"776316538",1
"827819330",1
"865818333",2
"885816230",1
"928815332",1
"1004815531",1
"1048815435",1
"1148815338",1
"1169016652",2
"1170815356",1
"1176316538",1
"1288815352",2
"1358815336",1
"1368815356",1
"1476319538",1
"1546415538",1
"1605818338",1
"1628718436",1
"1684016831",1
"1689815432",1
"1694210632",2
"1739815338",1
"1818815438",2
"1844016832",1
"1879815436",1
"1885310538",1
"1908815336",2
"2024016835",1
"2136311538",2
"2169815331",1
"2185816238",1
"2205118134",2
"2205816239",1
"2214210632",1
"2517819331",1
"2525118133",1
"2539815337",1
"2569815332",1
"2615816333",1
"2688815336",1
"2718815331",1
"2759815336",2
"2787819330",1
"2925816333",1
"2938815435",1
"2967310538",1
"3005816239",1
"3039715456",1
"3045818334",1
"3088016652",1
"3109815334",1
"3129815338",1
"3219815337",1
"3228815436",1
"3235816237",1
"3239815337",1
"3338815336",1
"3388815336",1
"3396417538",1
"3485310538",1
"3530815356",1
"3558815432",1
"3565816234",1
"3599815354",1
"3659815333",1
"3715816331",1
"3779815339",1
"3859815350",2
"3958815330",1
"4016414538",2
"4258716455",1
"4299815339",1
"4479815332",2
"4479815434",1
"4644310538",1
"4656310538",1
"5179815438",1
"5198815353",1
"5259815439",1
"5275816330",2
"5318410538",1
"5319815334",1
"5384316538",2
"5555816239",1
"5587819330",1
"5609815337",1
"5769815333",1
"5809815336",1
"6004016832",1
"6255311538",1
"6335716138",2
"6365818332",1
"6375816231",2
"6399815439",1
"6415818337",1
"6440816957",1
"6505716138",1
"6509310538",1
"6509815337",1
"6558716455",1
"6638316558",1
"6666412538",2
"6694016833",1
"6724210630",1
"6768716457",1
"6819815335",1
"6865816235",2
"6875818336",1
"7028815451",1
"7180116456",1
"7218815331",2
"7256616838",1
"7386617838",1
"7396411538",1
"7527819330",1
"7575816232",1
"7585816238",1
"7619815333",1
"7668016651",1
"7735311538",1
"7769815330",1
"7784410538",1
"7835816236",1
"7865816235",1
